'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {El festival (#1.3)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {El novio de Magos (#1.8)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {El picnic (#1.19)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {El vestido (#1.9)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Esta noche cena Mike (#1.4)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {La nueva asistente (#1.17)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {La pluma (#1.15)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {La separación (#1.5)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Los niños en la oficina (#1.10)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Los nuevos inquilinos (#1.22)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Mauricio empleado (#1.12)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Me enamoré de Mauricio (#1.18)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Papá a Dos de Tres Caídas (#1.7)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Que madres son esas (#1.14)}  (as Jorge Van Rankin)  [Mike Well]  
'El Burro' Van Rankin, Jorge|"¡Qué madre, tan padre!" (2006) {Qué madre sin padre (#1.21)}  (as Jorge Van Rankin)  [Mike Well]  
